sample_id,stage,latency_s,peak_vram_gb,energy_J,is_warmup
184,reranker,0.000652,16.188573,0.031,0
184,nli,1.427870,4.646136,227.410,0
185,image_search,2.419928,15.348945,299.413,0
185,reranker,0.000468,16.188573,0.035,0
185,nli,2.098658,7.027470,448.090,0
186,image_search,2.364029,15.348945,319.640,0
186,reranker,0.000622,16.188573,0.051,0
186,nli,0.796616,2.799091,97.069,0
187,image_search,2.357860,15.348945,311.151,0
187,reranker,0.000584,16.188573,0.073,0
187,nli,2.834257,9.972648,661.010,0
188,image_search,2.365540,15.348945,292.449,0
188,reranker,0.000585,16.188573,0.064,0
188,nli,1.203208,4.580907,186.187,0
189,image_search,2.320070,15.348945,289.948,0
189,reranker,0.000481,16.188573,0.030,0
189,nli,0.497898,1.878232,54.021,0
190,image_search,2.325376,15.348945,312.092,0
190,reranker,0.000873,16.188573,0.047,0
190,nli,3.138978,9.972648,780.951,0
191,image_search,2.942481,15.348945,382.049,0
191,reranker,0.000619,16.188573,0.050,0
191,nli,2.905004,9.972648,720.475,0
192,image_search,3.724505,15.348945,447.547,0
192,reranker,0.000470,16.188573,0.025,0
192,nli,0.898806,2.685289,123.055,0
193,image_search,3.402607,15.348945,452.328,0
193,reranker,0.000603,16.188573,0.047,0
193,nli,0.471027,1.607874,49.900,0
194,image_search,3.487817,15.348945,463.405,0
194,reranker,0.000607,16.188573,0.067,0
194,nli,2.707155,9.972648,637.252,0
195,image_search,2.381926,15.348945,319.551,0
195,reranker,0.000526,16.188573,0.074,0
195,nli,1.635030,5.540617,280.178,0
196,image_search,2.350823,15.348945,287.625,0
196,reranker,0.000631,16.188573,0.069,0
196,nli,1.863224,7.317832,387.509,0
197,image_search,2.405929,15.348945,293.973,0
197,reranker,0.000596,16.188573,0.093,0
197,nli,2.915532,9.972648,699.680,0
198,image_search,2.377738,15.348945,306.855,0
198,reranker,0.000658,16.188573,0.119,0
198,nli,2.957341,9.201190,704.211,0
199,image_search,2.410208,15.348945,323.945,0
199,reranker,0.000494,16.188573,0.061,0
199,nli,3.118031,9.972648,750.908,0
200,image_search,3.683810,15.348945,492.714,0
200,reranker,0.000483,16.188573,0.051,0
200,nli,1.228131,3.796298,196.851,0
201,image_search,3.402250,15.348945,453.773,0
201,reranker,0.000484,16.188573,0.062,0
201,nli,2.487564,9.972648,572.342,0
202,image_search,3.752923,15.348945,443.104,0
202,reranker,0.000502,16.188573,0.030,0
202,nli,0.734706,2.757461,91.091,0
203,image_search,2.825673,15.348945,379.504,0
203,reranker,0.000522,16.188573,0.069,0
203,nli,3.074838,9.972648,764.774,0
204,image_search,2.413506,15.348945,326.626,0
204,reranker,0.000613,16.188573,0.043,0
204,nli,2.992916,9.844448,727.873,0
205,image_search,2.345977,15.348945,313.536,0
205,reranker,0.000649,16.188573,0.110,0
205,nli,2.857487,9.972648,679.182,0
206,image_search,2.421008,15.348945,327.138,0
206,reranker,0.000559,16.188573,0.043,0
206,nli,0.867152,3.076206,110.558,0
207,image_search,2.303184,15.348945,303.387,0
207,reranker,0.000667,16.188573,0.114,0
207,nli,1.740244,5.159576,331.692,0
208,image_search,2.295874,15.348945,302.636,0
208,reranker,0.000681,16.188573,0.115,0
208,nli,1.870512,6.597062,392.776,0
209,image_search,2.351935,15.348945,293.324,0
209,reranker,0.000501,16.188573,0.076,0
209,nli,2.657158,9.491113,596.446,0
210,image_search,2.295773,15.348945,282.099,0
210,reranker,0.000620,16.188573,0.048,0
210,nli,1.118866,3.653244,166.808,0
211,image_search,2.768481,15.348945,342.427,0
211,reranker,0.000519,16.188573,0.074,0
211,nli,1.444618,5.356703,242.579,0
